d1,d2
520.1137155528721,492.7729285329078
505.5552049712004,353.58926191077865
459.2300699802118,320.70494545284646
461.8120615529396,426.74229433335654
517.3606578049898,571.440345525372
501.61188650553504,473.43177535060727
467.69020653578855,558.0937110246913
578.4839157779035,541.4118784470471
535.1474868609138,488.605843452799
464.3524431922003,524.4020749943722
506.4429354621021,429.4486808474569
538.6195270331434,587.4631293401949
601.2161025738553,611.3113901269693
536.3563747829447,565.2313123203298
450.47173404949706,469.5388346835475
494.1400200267682,537.4789613343647
558.4170341101947,667.0113387437995
452.24194326432337,395.8837703263438
513.1731999642972,502.31939619733987
522.546281328162,647.503146086392
617.072919928536,435.8639173384012
501.3764065768981,408.55297668651065
497.92386143087725,644.9488783277941
547.8449716753823,421.83275253249553
512.6454284305671,491.81017592061795
491.5295692840943,460.75776886268955
447.6883942304267,610.6425519863998
432.2864214755474,524.5041059465316
489.368191368158,484.3588863560797
458.8866256594627,450.26298275277094
458.00564023866514,639.6258748731562
594.4206073462561,552.4932762931883
463.31665560224377,492.2805155615165
458.59505429000035,461.46368397391996
594.5694402079247,386.0171782995007
535.4188871047713,558.4770188492461
481.1568051548843,407.10368535227576
459.75228277372554,441.245993073131
469.57084631875745,534.2621835773608
504.3832762476861,298.3163382158467
547.7054599055771,548.1016713311868
562.9525784797689,604.29136513208
477.4710824524796,275.5122986575167
504.776390912666,497.4090119684512
450.2579782746815,485.3200527201955
511.0391153476582,497.0166221836926
523.8426570675707,341.07790705669055
485.58983520061804,447.3911985871177
432.79609995377353,543.4758932770723
458.69197925775006,647.8265118464594
431.28490380033895,633.0094415783431
389.5380494106908,322.985735246992
554.3224516904374,440.7778231302028
476.6105779297568,599.0447115786759
441.4306168610447,354.8134679517606
400.4251426799505,282.9783602196876
440.93596099345865,564.2020382247555
640.1420287583308,394.33318270241955
518.5289421603703,631.5774059184197
485.41333441268955,412.21978030909196
542.735969492827,495.5841386284139
505.6399453841737,548.5472057690778
528.1912668206643,491.71628278919815
478.8762938010841,553.7374013464378
484.45286687220516,486.3125366533512
527.7145622753696,736.0143553701141
556.3007326171246,525.6189359573142
429.1976502204715,529.4652002223818
483.0464137822569,392.15132459506265
509.93423614961006,406.65177276309544
493.6222520538625,643.1399116165607
472.78745698380476,653.0368854215125
499.64660782689145,433.3952226178427
539.8154101816654,416.3346457384255
523.492027054357,548.5626663589471
521.7940510369181,425.80238476338167
566.8786437925668,553.0424018839908
596.9373232898071,566.5902018180846
506.208819929553,526.6782923600542
586.0327552150092,421.9524400615967
481.9901611013528,582.8076959962768
523.8313938367517,477.3269222908033
506.2432676772474,467.7781302742103
519.1267954962804,459.97850081523444
395.5465544781428,542.9032282771329
462.6776904343135,458.4712982371849
479.6546441030147,418.32977443730636
485.38682941370695,596.6839191450651
478.9320676473591,453.4368336546821
493.95530149484193,572.7083973274677
478.3956262346714,483.9324075470598
359.9465490815156,462.1902724393585
600.0845912208111,486.6466251106657
507.90916162041765,492.9611528010308
533.9027131881016,522.9808010857494
447.6060649731365,516.4413510561048
516.3481131688372,579.8514155250259
500.11068658121593,492.3723155283039
490.25018319898544,551.9715573951452
511.9310632991481,532.3086701859239
588.7041470696332,703.4787523855114
542.4480811709991,550.5427268856221
458.0804439010989,641.8260070512498
518.5339220639474,568.0896448341668
452.5319938377867,487.18629299467904
433.51383788497924,446.4269356619051
576.4934751572616,428.9762573881658
450.90221395462925,778.3377799224614
445.4656282947498,357.1858779235864
497.39820568995066,407.36309255168675
459.98907083317783,498.625182974794
518.6853756916686,432.81607690238434
511.51003700237607,564.20254342557
552.2696755338139,580.9102158969824
469.166351521026,646.3487646080066
533.2334584945248,435.016138479475
561.8240291172303,407.9537061869946
482.17268190457656,551.3933020703354
450.45660896174604,494.09109447307713
537.0223120283948,506.89602726204544
521.3281832252334,708.6973169998173
496.794805807184,552.4389060456062
397.0720980163243,453.54644218714753
489.73598639403883,462.8328184109267
381.258408023406,311.998361961446
562.3540867263264,498.2295423896104
494.88026806138527,546.8243419709473
438.3493700746919,311.50498999034266
519.169287170684,617.6245540459091
541.7847440992759,396.4744086208035
494.6700382682011,557.7930992901404
476.9827204946147,571.7342162890752
420.7041552486604,462.02410402176
436.6610616147096,353.22323518559523
539.6948970003557,446.80093512370905
477.48434670869034,550.8259675134361
530.7690890776838,473.4880488747693
416.5494727941752,675.0224747902867
525.7375528434633,557.0121738750402
618.565617815807,471.5971991559106
419.88464498470614,590.66464248235
453.08628076615196,579.9183537943234
588.5975063713835,569.3227592464968
539.5911605342808,533.2831729161283
469.2468504323994,688.568344371189
480.77370342660345,587.7271781349576
405.58649756993873,501.93218264975394
513.5261276228348,607.3910553890811
579.9654788527034,577.1819545597936
451.2020197968172,652.5454269003221
470.21738388441673,591.7062949633828
387.42302241383106,497.440754952073
451.61083325128845,315.59908345732754
520.1720832146987,509.7703684246867
480.24313264177357,515.6150906720527
501.323917296,443.84935675448685
518.2843537046218,407.97804777214355
460.93258165905405,432.96274883710066
462.14142515530716,447.67193863254926
557.4711958370103,610.3421115142379
436.24447529755105,554.7082305248948
468.33167618972686,356.70846882654007
449.092447293304,581.1989032821217
467.7535183890654,399.9285929995212
439.6977276993396,618.962255616749
519.6197236479994,463.4530397812475
491.7212055435121,619.8337714058425
515.7268614742862,424.9546748279156
411.1720928107489,441.64686702449274
436.59904361166514,514.7166250023931
505.5307136304711,398.6106749150264
421.96749320247636,378.8512075257174
507.12751359122154,664.4344722077425
546.7693367190243,433.03975463590666
599.9868190011945,478.1238426910934
504.2346895410984,636.9139674654843
514.7197271364012,460.41754652223426
528.9037409820211,342.8281581313497
465.4470214615017,390.7763447339242
466.9530224434374,540.4476895173678
500.3143552603868,364.7082913263792
511.6433241575546,465.01554079957
453.44250219061536,609.9323443797798
580.9354213722561,580.7771959803255
487.4620082850207,468.33795244999
466.3942488751465,510.11089752545524
483.39396155160733,621.1860814068482
465.34022944248966,423.11767908423815
524.7445715286249,644.4713509114918
469.754325221244,490.9228040229542
559.5936112560563,671.4415953679977
472.0061125258089,348.8668241912676
534.0330037428331,337.3019762704942
493.3248407632229,512.6577682903365
494.79604904730206,598.8144326614964
507.8364527503533,600.3573805839071
490.78915033378854,441.77596311757617
492.7822739352545,415.8118507868839
480.4644875038631,402.4526806954522
457.8409630715427,514.0882014817048
415.02785964289774,484.9834609730764
444.62659596065635,465.8127206212602
494.97786124511015,613.2576849330752
473.3969422733997,360.2204900483921
558.2222342337134,630.5575272184508
523.6945606367443,558.3388050208415
537.1754700254919,519.0090631349649
506.54997898666323,443.11752494218445
